('Codice prodotto', 'Quantità massima', 'Scatola', 'Dimensioni scatola')
(4551120610003, 220, 'VP8017/0', '500X390X290')
(4551120620003, 220, 'VP8017/0', '500X390X290')
(4551120630003, 220, 'VP8017/0', '500X390X290')
(4551120810003, 60, 'VP8017/0', '500X390X290')
(4551120820003, 60, 'VP8017/0', '500X390X290')
(4551120830003, 60, 'VP8017/0', '500X390X290')
(4551120910003, 40, 'VP8017/0', '500X390X290')
(4551120920003, 40, 'VP8017/0', '500X390X290')
(4551120930003, 40, 'VP8017/0', '500X390X290')
(4551121010003, 40, 'VP8017/0', '500X390X290')
(4551121020003, 40, 'VP8017/0', '500X390X290')
(4551121030003, 40, 'VP8017/0', '500X390X290')
(4551121210003, 20, 'VP8017/0', '500X390X290')
(4551121220003, 20, 'VP8017/0', '500X390X290')
(4551121230003, 20, 'VP8017/0', '500X390X290')
(4551121310003, 20, 'VP8017/0', '500X390X290')
(4551121320003, 20, 'VP8017/0', '500X390X290')
(4551121330003, 20, 'VP8017/0', '500X390X290')
(4551121610003, 20, 'VP8017/0', '500X390X290')
(4551121620003, 20, 'VP8017/0', '500X390X290')
(4551121630003, 20, 'VP8017/0', '500X390X290')
(4551320160003, 60, 'VP8017/0', '500X390X290')
(4551320260003, 60, 'VP8017/0', '500X390X290')
(4551320960003, 40, 'VP8017/0', '500X390X290')
(4551321060003, 40, 'VP8017/0', '500X390X290')
(4550121710003, 360, 'VP8018/0', '390X290X235')
(4550121720003, 360, 'VP8018/0', '390X290X235')
(4550121730003, 360, 'VP8018/0', '390X290X235')
(4550321760003, 100, 'VP8018/0', '390X290X235')
(4551120110003, 60, 'VP8018/0', '390X290X235')
(4551120120003, 60, 'VP8018/0', '390X290X235')
(4551120130003, 60, 'VP8018/0', '390X290X235')
(4551120210003, 60, 'VP8018/0', '390X290X235')
(4551120220003, 60, 'VP8018/0', '390X290X235')
(4551120230003, 60, 'VP8018/0', '390X290X235')
('990752SLV0003', 100, 'VP8018/0', '390X290X235')
('991232SLV0003', 100, 'VP8018/0', '390X290X235')
('999051SLV0003', 50, 'VP4256/0', '800X400X400')
('999052SLV0003', 50, 'VP4256/0', '800X400X400')
('999053SLV0003', 50, 'VP4256/0', '800X400X400')
('999061SLV0003', 50, 'VP4268/0', '1350X400X300')
('999062SLV0003', 50, 'VP4268/0', '1350X400X300')
('999063SLV0003', 50, 'VP4268/0', '1350X400X300')
(4550341700003, 1, 'VP9100/0', ' Sacc. 60X130')
(4550722810003, 50, 'dato mancante', 'dato mancante')
(4550722820003, 50, 'dato mancante', 'dato mancante')
(4550722830003, 50, 'dato mancante', 'dato mancante')
(4551121110003, 10, 'VP4056/0', '325X230X160')
(4551121120003, 10, 'VP4056/0', '325X230X160')
(4551121130003, 10, 'VP4056/0', '325X230X160')
(4551520310003, 10, 'VP4175/0', '240X140X140')
(4551520320003, 10, 'VP4175/0', '240X140X140')
(4551520330003, 10, 'VP4175/0', '240X140X140')
(4551691010003, 250, 'VP0200/0', '400X400X600')
(4551691020003, 250, 'VP0200/0', '400X400X600')
(4551691030003, 250, 'VP0200/0', '400X400X600')
('990951SLV0003', 10, 'VP4129/0', '340X195X135')
('990952SLV0003', 10, 'VP4129/0', '340X195X135')
('990953SLV0003', 10, 'VP4129/0', '340X195X135')
